Title,Platform,Content Type,Goal,Status,Priority,Personality Marker,Recurring,Post Date,Hook Used,Notes
[TK-4] ContentBrain for every niche: the universal framework,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-16T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Workshop highlights: the speed is real,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-17T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Phase 3 highlights: 20 days of demos in 60 seconds,Instagram,Reel Script,Sales,Draft,Normal,Story,One-Time,2026-05-17T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] Saturday morning. Coffee in hand. Zero content stress. My entire next week is al...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-17T08:00:00,"Saturday morning. Coffee in hand. Zero content stress. My entire next week is already written, optimized, and scheduled.",Phase 5 | X-AM | C-47 | [v1 hook] | v2
[TG-1] May 17 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-17T08:00:00,,
[LI-1] Workshop reminder: the last free session before launch,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-17T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The numbers aren't even close — content cost comparison,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-17T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Building in public means celebrating in public,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-17T12:00:00,,Phase 5 | X-PM | NEW | [TOPIC ONLY] | v2
[TK-3] What topic should I go deep on next?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-17T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Behind the scenes: prepping for the live build,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-17T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 17 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-17T16:00:00,,
[IG-2] AI startup demo: thought leadership automated,Instagram,Carousel,Community,Draft,Normal,Callout,One-Time,2026-05-17T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Brand voice + AI: proof it works,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-17T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
"[TK-1] Workshop attendee results: 30 days, 60 posts, done.",TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-18T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Testimonial compilation: real user results,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-05-18T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] Pattern I've noticed: most Web3 projects track their own analytics but never stu...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-05-18T08:00:00,Pattern I've noticed: most Web3 projects track their own analytics but never study their competitors' content. Boxing blindfolded.,Phase 5 | X-AM | C-48 | [v1 hook] | v2
[TG-1] May 18 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-18T08:00:00,,
[LI-1] Exchange content + AI: the volume/quality arbitrage,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-18T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] 6 biggest takeaways from the workshop,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-18T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Sunday reset. What's one thing you're changing about your content strategy this ...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-18T12:00:00,Sunday reset. What's one thing you're changing about your content strategy this week?,Phase 5 | X-PM | C-48 | [v1 hook] | v2
[TK-3] If you could hold only 3 tokens for 12 months — which?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-18T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Web3 gaming content at scale: the niche opportunity,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-18T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 18 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-18T16:00:00,,
"[IG-2] Quote: 'In 48 hours, 25 people get a content team'",Instagram,Community Post,Reach,Draft,Normal,Callout,One-Time,2026-05-18T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Competitor analysis in 30 seconds — the intelligence layer,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-18T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] ContentBrain for DeFi: research to posts in minutes,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-19T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Workshop preview: what you'll learn + build in 45 minutes,Instagram,Carousel,Leads,Draft,Normal,Story,One-Time,2026-05-19T07:00:00,Workshop preview: what you'll learn + build in 45 minutes,Phase 5 | IG-1 | C-49 | [v1 hook] | v2
[X-1] Thursday at 2PM EST: Free live workshop — How to build a 30-day content engine t...,X/Twitter,Tweet,Leads,Draft,Normal,Polarizing Stand,One-Time,2026-05-19T08:00:00,Thursday at 2PM EST: Free live workshop — How to build a 30-day content engine that runs without you. No slides. No fluff. Just a live build.,Phase 5 | X-AM | C-49 | [v1 hook] | v2
[TG-1] May 19 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-19T08:00:00,,
[LI-1] Workshop announcement: Build a content engine that runs without you. Thursday 2P...,LinkedIn,LinkedIn Post,Leads,Draft,Normal,Callout,One-Time,2026-05-19T09:00:00,Workshop announcement: Build a content engine that runs without you. Thursday 2PM EST. 100 live spots.,Phase 5 | LI-1 | C-49 | [v1 hook] | v2
[TK-2] Phase 3 highlights: 20 days of demos in 60 seconds,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-19T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] The gap between 12 hrs/week on content and 2 hrs/week? A system. That's the enti...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-05-19T12:00:00,The gap between 12 hrs/week on content and 2 hrs/week? A system. That's the entire difference.,Phase 5 | X-PM | C-49 | [v1 hook] | v2
[TK-3] To everyone following for 60+ days: thank you.,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-19T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] The DeFi niche demo: research to published posts,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-19T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 19 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-19T16:00:00,,
[IG-2] Speed run: entire week across 4 platforms,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-05-19T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Workshop live: building what takes most teams a week,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-19T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Morning routine: check dashboard → review drafts → approve and schedule → done b...,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-20T06:00:00,Morning routine: check dashboard → review drafts → approve and schedule → done by 9AM,Phase 5 | TK-1 | C-50 | [v1 hook] | v2
[IG-1] ContentBrain for every niche: one system,Instagram,Carousel,Authority,Draft,Normal,Story,One-Time,2026-05-20T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
"[X-1] A day in my life as a creator who doesn't create content manually: wake up, chec...",X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-20T08:00:00,"A day in my life as a creator who doesn't create content manually: wake up, check dashboard, approve posts, done by 9AM.",Phase 5 | X-AM | C-50 | [v1 hook] | v2
[TG-1] May 20 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-20T08:00:00,,
[LI-1] Binance Square content: automated and on-brand,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-20T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
"[TK-2] In 48 hours, 25 people get a content team that never sleeps",TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-20T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Honest question: what's the one thing you wish someone told you before you start...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-20T12:00:00,Honest question: what's the one thing you wish someone told you before you started creating content?,Phase 5 | X-PM | C-50 | [v1 hook] | v2
[TK-3] Workshop attendees: drop your results below,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-20T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Speed + quality: debunking the false tradeoff,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-20T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 20 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-20T16:00:00,,
[IG-2] Behind the scenes: preparing for the live build,Instagram,Reel Script,Reach,Draft,Normal,Callout,One-Time,2026-05-20T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] 6 takeaways from 300 workshop attendees,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-20T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] ContentBrain for AI startups: automated thought leadership,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-21T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Behind the scenes: prepping for tomorrow's live build,Instagram,Community Post,Leads,Draft,Normal,Story,One-Time,2026-05-21T07:00:00,Behind the scenes: prepping for tomorrow's live build,Phase 5 | IG-1 | C-51 | [v1 hook] | v2
[X-1] Tomorrow: I build a 30-day content engine live. From zero to scheduled. You'll w...,X/Twitter,Tweet,Leads,Draft,Normal,Polarizing Stand,One-Time,2026-05-21T08:00:00,Tomorrow: I build a 30-day content engine live. From zero to scheduled. You'll watch the entire thing. In 24 hours.,Phase 5 | X-AM | C-51 | [v1 hook] | v2
[TG-1] May 21 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-21T08:00:00,,
[LI-1] Workshop reminder: last call for free spots. Tomorrow 2PM EST.,LinkedIn,LinkedIn Post,Leads,Draft,Normal,Callout,One-Time,2026-05-21T09:00:00,Workshop reminder: last call for free spots. Tomorrow 2PM EST.,Phase 5 | LI-1 | C-51 | [v1 hook] | v2
[TK-2] The speed difference is making people angry,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-21T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Morning routine check: how do you start your day?,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-21T12:00:00,,Phase 5 | X-PM | NEW | [TOPIC ONLY] | v2
[TK-3] Building in public means celebrating in public,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-21T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
"[LI-2] Cost comparison: $6,480/mo content team vs automated system",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-21T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 21 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-21T16:00:00,,
"[IG-2] Cost comparison: $6,480/mo vs one system",Instagram,Carousel,Community,Draft,Normal,Callout,One-Time,2026-05-21T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] ContentBrain aggregate data: 18 hrs/week saved average,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-21T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Workshop highlights: 30-day engine built live in 47 minutes,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-22T06:00:00,Workshop highlights: 30-day engine built live in 47 minutes,Phase 5 | TK-1 | C-52 | [v1 hook] | v2
[IG-1] 32 seconds for a week of TikTok scripts,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-05-22T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] We're live. Building a 30-day content engine from scratch. No templates. No slid...,X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-22T08:00:00,We're live. Building a 30-day content engine from scratch. No templates. No slides. Just ContentBrain and a blank screen. Let's go.,Phase 5 | X-AM | C-52 | [v1 hook] | v2
[TG-1] May 22 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-22T08:00:00,,
"[LI-1] DeFi case study: 8 to 60 posts, engagement tripled",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-22T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] One system handles volume AND quality,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-22T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Workshop done. 47 minutes to build what takes most teams a week. Here are the ke...,X/Twitter,Thread,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-22T12:00:00,Workshop done. 47 minutes to build what takes most teams a week. Here are the key takeaways.,Phase 5 | X-PM | C-52 | [v1 hook] | v2
[TK-3] What content would help you most right now?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-22T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Brand voice + AI: proof from real users,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-22T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 22 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-22T16:00:00,,
[IG-2] Workshop preview: what you'll learn + build,Instagram,Carousel,Reach,Draft,Normal,Callout,One-Time,2026-05-22T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The system that produces 60 posts/month at scale,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-22T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] 5 unsolicited user messages. They just... said it.,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-23T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] 6 takeaways from building a 30-day content engine live,Instagram,Carousel,Reach,Draft,Normal,Story,One-Time,2026-05-23T07:00:00,6 takeaways from building a 30-day content engine live,Phase 5 | IG-1 | C-53 | [v1 hook] | v2
[X-1] Yesterday: 30-day content engine live in 47 min. 300 people watched. 6 biggest t...,X/Twitter,Thread,Reach,Draft,Normal,Polarizing Stand,One-Time,2026-05-23T08:00:00,Yesterday: 30-day content engine live in 47 min. 300 people watched. 6 biggest takeaways if you missed it.,Phase 5 | X-AM | C-53 | [v1 hook] | v2
[TG-1] May 23 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-23T08:00:00,,
[LI-1] Workshop recap: 6 takeaways from building a content engine live,LinkedIn,LinkedIn Post,Reach,Draft,Normal,Callout,One-Time,2026-05-23T09:00:00,Workshop recap: 6 takeaways from building a content engine live,Phase 5 | LI-1 | C-53 | [v1 hook] | v2
[TK-2] What 300 workshop attendees learned in 47 minutes,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-23T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Workshop attendee DM'd me 2 hours after: 'Just set up my first calendar. 30 days...,X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-23T12:00:00,Workshop attendee DM'd me 2 hours after: 'Just set up my first calendar. 30 days. 60 posts. Done.',Phase 5 | X-PM | C-54 | [v1 hook] | v2
[TK-3] The gap between wanting to post and actually posting,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-23T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Workshop recap: 6 takeaways from 300 attendees,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-23T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 23 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-23T16:00:00,,
[IG-2] Quote: 'Saturday morning. Zero content stress.',Instagram,Community Post,Community,Draft,Normal,Callout,One-Time,2026-05-23T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] AI content isn't the future. AI content systems are.,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-23T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Real results from workshop attendees — in their own words,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-24T06:00:00,Real results from workshop attendees — in their own words,Phase 5 | TK-1 | C-54 | [v1 hook] | v2
[IG-1] 6 takeaways from 30-day content engine workshop,Instagram,Carousel,Authority,Draft,Normal,Story,One-Time,2026-05-24T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
"[X-1] Workshop attendee: '30 days, 60 posts, done in 2 hours.' This is what speed look...",X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-24T08:00:00,"Workshop attendee: '30 days, 60 posts, done in 2 hours.' This is what speed looks like.",Phase 5 | X-AM | C-54 | [v1 hook] | v2
[TG-1] May 24 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-24T08:00:00,,
[LI-1] ContentBrain for AI startups: automated thought leadership,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-24T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] 30 days of content stress eliminated. Permanently.,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-24T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
"[X-2] If you could only hold 3 crypto tokens for 12 months — no selling, no trading — ...",X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-24T12:00:00,"If you could only hold 3 crypto tokens for 12 months — no selling, no trading — what are they?",Phase 5 | X-PM | C-54 | [v1 hook] | v2
[TK-3] Friday wins: what worked this week?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-24T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] User testimonials: 5 unsolicited messages compiled,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-24T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 24 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-24T16:00:00,,
[IG-2] ContentBrain Video Production: script to finished,Instagram,Reel Script,Reach,Draft,Normal,Callout,One-Time,2026-05-24T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The content intelligence layer nobody talks about,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-24T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
"[TK-1] Web3 gaming demo: lore + hype content, all on-brand",TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-25T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] DeFi niche demo: research to published posts,Instagram,Carousel,Sales,Draft,Normal,Story,One-Time,2026-05-25T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] Here's what ContentBrain looks like for a DeFi protocol. Research. Hooks. Thread...,X/Twitter,Thread,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-25T08:00:00,Here's what ContentBrain looks like for a DeFi protocol. Research. Hooks. Threads. Educational content. All in brand voice. All in minutes.,Phase 5 | X-AM | C-55 | [v1 hook] | v2
[TG-1] May 25 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-25T08:00:00,,
[LI-1] Phase 3 recap: 20 days of demos and real proof,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-25T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The $50K freelancer savings story — real DMs,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-25T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] What topic do you want me to go deep on this week? Most requested gets a full br...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-25T12:00:00,What topic do you want me to go deep on this week? Most requested gets a full breakdown.,Phase 5 | X-PM | C-55 | [v1 hook] | v2
[TK-3] Morning routine check: how do you start your day?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-25T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Last call for spots: limited opening announcement,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-25T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 25 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-25T16:00:00,,
[IG-2] Web3 gaming demo: lore + hype content,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-05-25T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Real user data beats any sales pitch,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-25T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] 7 days of exchange content in 2 minutes,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-26T06:00:00,,Phase 5 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] DeFi niche demo: research to published posts in minutes,Instagram,Video - AI Generated,Sales,Draft,Normal,Story,One-Time,2026-05-26T07:00:00,DeFi niche demo: research to published posts in minutes,Phase 5 | IG-1 | C-55 | [v1 hook] | v2
[X-1] Here's what ContentBrain looks like for an AI startup. Thought leadership. Techn...,X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-26T08:00:00,Here's what ContentBrain looks like for an AI startup. Thought leadership. Technical explainers. Investor content. All automated.,Phase 5 | X-AM | C-56 | [v1 hook] | v2
[TG-1] May 26 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-26T08:00:00,,
[LI-1] ContentBrain for AI startups: thought leadership and technical content — automat...,LinkedIn,LinkedIn Post,Sales,Draft,Normal,Callout,One-Time,2026-05-26T09:00:00,"ContentBrain for AI startups: thought leadership and technical content — automated, on-brand.",Phase 5 | LI-1 | C-56 | [v1 hook] | v2
[TK-2] Attendee DM: 'Set up my calendar in 2 hours. 60 posts. Done.',TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-26T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Founders: your time is too valuable for content creation. You handle the vision....,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-05-26T12:00:00,Founders: your time is too valuable for content creation. You handle the vision. The system handles execution.,Phase 5 | X-PM | C-56 | [v1 hook] | v2
[TK-3] The community question: what do you need most?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-26T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Day-in-the-life: the automated creator morning routine,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-26T16:00:00,,Phase 5 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 26 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-26T16:00:00,,
[IG-2] Exchange content: 7 days in 2 minutes,Instagram,Carousel,Reach,Draft,Normal,Callout,One-Time,2026-05-26T17:00:00,,Phase 5 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Why automated isn't the same as generic,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-26T19:00:00,,Phase 5 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] 5 unsolicited messages from ContentBrain users — screen recordings,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-27T06:00:00,5 unsolicited messages from ContentBrain users — screen recordings,Phase 5 | TK-1 | C-57 | [v1 hook] | v2
[IG-1] Phase 3 highlights: 20 days of demos in 60 seconds,Instagram,Reel Script,Sales,Draft,Normal,Story,One-Time,2026-05-27T07:00:00,,Phase 5 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] 5 messages I received this week from ContentBrain users. I didn't ask them to sa...,X/Twitter,Thread,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-27T08:00:00,5 messages I received this week from ContentBrain users. I didn't ask them to say this. They just... said it.,Phase 5 | X-AM | C-57 | [v1 hook] | v2
[TG-1] May 27 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-27T08:00:00,,
[LI-1] Workshop reminder: the last free session before launch,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-27T09:00:00,,Phase 5 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The cost math is changing faster than you think,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-27T11:00:00,,Phase 5 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Share one win from this week. Doesn't matter how small. Building in public means...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-05-27T12:00:00,Share one win from this week. Doesn't matter how small. Building in public means celebrating in public.,Phase 5 | X-PM | C-57 | [v1 hook] | v2
[TK-3] Drop your niche — free content idea in the replies,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-27T16:00:00,,Phase 5 | TK-3 | NEW | [TOPIC ONLY] | v2
